Name,Category,Description,Address,Phone,WhatsApp,BusinessHours,WeeklyOff,TopProducts,Facebook,Instagram,Website,Latitude,Longitude,ImageURL,Slug,OriginalURL,DateAdded,Status
Jawed Habib,Salons,"Discover Jawed Habib: Your Ultimate Destination for Unmatched Hair and Beauty Services in Madhepura

Are you in search of a world-class salon in Madhepura that offers exceptional hair and beauty services? Look no further than Jawed Habib, the ultimate destination for all your grooming needs. With our team of skilled professionals, luxurious ambiance, and a wide range of services, we are dedicated to providing an unparalleled salon experience that will leave you feeling rejuvenated and confident. Step into the world of Jawed Habib and discover a haven of style, elegance, and self-care.

Jawed Habib is not just a salon; it is an institution with a legacy of excellence in the hair and beauty industry. With over 550 salons spread across 24 countries, we have earned a reputation for our commitment to quality, innovation, and customer satisfaction. Our Madhepura branch upholds the same standards and is staffed with highly trained professionals who excel in their craft, ensuring that every client receives personalized attention and impeccable service.

As the premier unisex salon in Madhepura, Jawed Habib offers a comprehensive range of hair and beauty services tailored to meet the diverse needs and preferences of our esteemed clientele. From trendy haircuts and professional hair styling to hair color transformations, we have the expertise to bring your desired look to life. Our experienced stylists stay abreast of the latest trends and techniques, ensuring that you receive the most up-to-date services in the industry.

At Jawed Habib, we understand that healthy, lustrous hair is the foundation of great style. That's why we offer a range of hair treatments and therapies to nourish, repair, and revitalize your locks. From rejuvenating hair spas and deep conditioning treatments to keratin smoothing and hair extensions, our salon provides a comprehensive suite of services designed to enhance the health and beauty of your hair. Step into our salon, and let our experts transform your tresses into a crowning glory.

In addition to our exceptional hair services, Jawed Habib also offers a wide array of beauty services to cater to all your grooming needs. Our team of skilled beauticians is well-versed in the latest beauty trends and techniques, ensuring that you receive top-notch services that enhance your natural beauty. From flawless makeup applications and bridal packages to skin rejuvenation treatments and luxurious facials, our salon is your one-stop destination for all things beauty.

What sets Jawed Habib apart from other salons in Madhepura is our unwavering commitment to customer satisfaction. We prioritize the comfort and convenience of our clients, ensuring that every visit to our salon is a delightful experience. Our salon boasts a sophisticated and welcoming ambiance, where you can relax and unwind while our experts work their magic. We use only high-quality, internationally acclaimed products that are gentle on your skin and hair, leaving you with stunning results.

At Jawed Habib, we understand that your time is valuable. That's why we have designed our salon to provide efficient, streamlined services without compromising on quality. Our team of professionals works diligently to ensure that your appointments are punctual, and you receive the attention and care you deserve. From the moment you walk through our doors to the time you leave, our focus is on delivering an exceptional salon experience that exceeds your expectations.

To further enhance our clients' satisfaction, Jawed Habib offers a range of value-added services, including personalized consultations, expert advice on hair and beauty care, and maintenance tips to help you extend the life of your treatments.

&nbsp;

&nbsp;

&nbsp;

ALL TYPES OF HAIR CUT AND FACIAL HERE
IN HIGH BUDGET....MUST VISIT ONCE",KARPOORI CHOWK NEAR MAIN MARKET,917367948493,917367948493,9am opening time and closing time 9pm,,"Hair cut ,spaa ,facial, cleaning,masaz,Pedicure",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515123551-scaled.jpg,jawed-habib,https://mymadhepura.com/listing/jawed-habib/,2023-05-15,Published
Hotel Atithi,Hotels,"Hotel Atithi: Your Gateway to Comfort and Convenience in Madhepura

Welcome to Hotel Atithi, your premier destination for an unforgettable stay in Madhepura, Bihar. Nestled in the heart of the city, Hotel Atithi offers a perfect blend of warm hospitality, modern amenities, and a convenient location, making it the ideal choice for both business and leisure travelers. With our commitment to providing exceptional service and a comfortable atmosphere, we strive to ensure that every guest's stay is nothing short of remarkable.

Conveniently located near the bustling bus stand of Madhepura, Hotel Atithi offers easy access to all major attractions and transportation hubs in the district. Whether you're visiting for business meetings, exploring the vibrant culture of Madhepura, or embarking on a pilgrimage, our hotel's strategic location ensures that you're never far from your desired destination.

At Hotel Atithi, we understand the importance of a good night's sleep after a long day of travel or meetings. Our rooms and suites are designed with your comfort in mind, featuring plush bedding, contemporary furnishings, and a tranquil ambiance. Each room is equipped with modern amenities such as air conditioning, flat-screen televisions, complimentary Wi-Fi, and spacious en-suite bathrooms, ensuring that you have everything you need for a relaxing stay.

As a local business listing website focused on hotels in Madhepura, we take pride in offering a comprehensive directory of accommodations that cater to different preferences and budgets. Hotel Atithi stands out among the rest with its impeccable service and attention to detail. Our friendly and professional staff is always on hand to assist you with any requests or inquiries, ensuring that your stay with us is hassle-free and enjoyable.

For food enthusiasts, Hotel Atithi is a culinary haven. Our in-house restaurant serves a delectable array of regional and international cuisines, prepared by our talented chefs using the freshest ingredients. Indulge in the rich flavors of authentic Bihari cuisine, savor tantalizing North Indian dishes, or explore international flavors to suit your palate. Our restaurant provides a delightful dining experience, perfect for family gatherings, business lunches, or intimate dinners.

To further enhance your stay, Hotel Atithi offers a range of amenities and facilities designed to cater to your needs. Stay active and energized at our well-equipped fitness center, allowing you to maintain your workout routine even while traveling. If you're planning a special event or business meeting, our banquet halls and conference rooms provide the perfect venues, equipped with state-of-the-art audiovisual technology and attentive event planning services.

We understand that traveling can be stressful, especially when you're in an unfamiliar city. That's why Hotel Atithi offers a range of personalized services to make your stay as comfortable as possible. Our knowledgeable concierge team is available around the clock to assist you with travel arrangements, sightseeing recommendations, and any other requirements you may have.

By choosing Hotel Atithi, you can be confident that you're selecting one of the best accommodations in the region, with a proven track record of guest satisfaction and positive reviews.

In conclusion, Hotel Atithi is more than just a place to stay; it's an experience that combines comfort, convenience, and warm hospitality. Whether you're visiting Madhepura for business or pleasure, our hotel provides the perfect retreat to relax, recharge, and explore the rich cultural heritage of this vibrant district. Book your stay with us today.",KARPOORI CHOWK NEAR MAIN MARKET,918368842207,918368842207,,,All types of low budget and high budget rooms are available here AC/non AC,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515123505-scaled.jpg,hotel-atithi,https://mymadhepura.com/listing/hotel-atithi/,2023-05-15,Published
He &amp; She unisex saloon,Salons,"Hair cut , spaa, de-tan , Facial , cleaning ,


India' s best Hairr stylist are here ...",State Bank road Forteen's Cafe 852113,919279390639,919279390639,10am opening and closing time 9pm,,"Hair cut , Facial, cleaning",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515182242-scaled.jpg,he-she-unisex-saloon,https://mymadhepura.com/listing/he-she-unisex-saloon/,2023-05-16,Published
ANAND HOSPITAL,Hospitals,"All types of emergency services are available here. 
Dr.om prakash 
Dr.R.k pappu 
Dr.Rajni Rajan 

Heart , stomach and chest
ICU/NICU
DYBITIZE CARE CLINIC",By pass road near petrol pump,91000000,9100000,24x7,Sunday close,"Dr.om prakash , Dr. R.k pappu , Dr .Rajni Rajan",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515192226-scaled.jpg,anand-hospital,https://mymadhepura.com/listing/anand-hospital/,2023-05-16,Published
HOTEL GRAND HAVELI,Hotels,Rooms and marriage hall must visit once,COLLEGE CHOWK NEAR BOBBY NURSERY,9100000,9100000,All time open,,All types of low budget and high budget rooms are available here AC/non AC,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515175453-scaled.jpg,hotel-grand-haveli,https://mymadhepura.com/listing/hotel-grand-haveli/,2023-05-16,Published
MANKA CHAI MADHEPURA,Cafe,"Chaiii and coffee , cold drink must visit once 
Awesome test ❤️","Purani, Main Rd, Madhepura, Bihar 852113",917257925144,917257925144,,,Chai and Coffee,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515230849-scaled.jpg,manka-chai-madhepura,https://mymadhepura.com/listing/manka-chai-madhepura/,2023-05-16,Published
T . P college Madhepura,Colleges,T.P COLLEGE,COLLEGE chowk near petrol pump,910000000,91000000,9am opening time and closing time 8pm,,College,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515172107-scaled.jpg,t-p-college-madhepura,https://mymadhepura.com/listing/t-p-college-madhepura/,2023-05-16,Published
HOTEL THE GREEN HOUSE,Hotels,"ALL types of rooms are available here must once 

AC/NON AC",College chowk near shiv mandir Madhepura,918405842435,918405842435,All time,,All types of low budget and high budget rooms are available here AC/non AC,,,,25.933196,86.795474,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515171814-scaled.jpg,hotel-the-green-house,https://mymadhepura.com/listing/hotel-the-green-house/,2023-05-16,Published
Delhi darbar Chicken Biryani corner,Restaurants,"Chicken biryani, chicken 🐔 kabab are the best must visit once soo 😋 yummy....",College chowk near shiv mandir Madhepura,918958294011,918449476366,9am opening time and closing time 9pm,,"Chicken biryani, chicken kabab ,",,,,25.933193,86.795475,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/Screenshot_2023-05-16-14-41-05-59_3d9111e2d3171bf4882369f490c087b4.jpg,delhi-darbar-chicken-biryani-corner,https://mymadhepura.com/listing/delhi-darbar-chicken-biryani-corner/,2023-05-16,Published
HoTEL MANJU,Hostel,ALL types of low budget rooms are available here must visit once,College chowk near vegetables shop,919430964286,919430964286,10am opening and closing time 9pm,,Low budget rooms,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/Screenshot_2023-05-16-14-45-49-65_3d9111e2d3171bf4882369f490c087b4.jpg,hotel-manju,https://mymadhepura.com/listing/hotel-manju/,2023-05-16,Published
HOTEL GANGA,Hotels,Low budget rooms are available here must visit once,KARPOORI CHOWK NEAR MAIN MARKET,917654627767,917654627767,,,All types of low budget and high budget rooms are available here AC/non AC,,,,25.933109,86.795498,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/Screenshot_2023-05-16-14-51-51-05_3d9111e2d3171bf4882369f490c087b4.jpg,hotel-ganga,https://mymadhepura.com/listing/hotel-ganga/,2023-05-16,Published
HOTEL MINU PALACE,Hotels,ALL types of rooms are available here must visit once,COLLEGE CHOWK NEAR BOBBY NURSERY,919304413719,919304413719,,,All types of low budget and high budget rooms are available here AC/non AC,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/Screenshot_2023-05-16-15-02-55-09_3d9111e2d3171bf4882369f490c087b4.jpg,hotel-minu-palace,https://mymadhepura.com/listing/hotel-minu-palace/,2023-05-16,Published
SINGESHWAR TEMPLE,Weeding,"LORD SHIVA TEMPLE 🙌
BAM BAM BHOLE",SINGESHWAR,,,,,All types of wishes are true here,,,,19.752045,85.212467,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230516174232-scaled.jpg,singeshwar-temple,https://mymadhepura.com/listing/singeshwar-temple/,2023-05-16,Published
MADHEPURA CHRISTIAN HOSPITAL,Hospitals,"PRAGNENT LADY'S HOSPITAL
X-ray
ICU
NI",Mission road near railway station,919431242584,919431242584,24x7,,"ICU , NICU , PRAGNENT LADY'S HOSPITAL X ray",,,,25.933167,86.795482,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/Screenshot_2023-05-16-20-19-17-25_3d9111e2d3171bf4882369f490c087b4.jpg,madhepura-christian-hospital,https://mymadhepura.com/listing/madhepura-christian-hospital/,2023-05-16,Published
"JANNAYAK KARPOORI THAKUR ,MEDICAL COLLEGE AND HOSPITAL, MADHEPURA BIHAR",Hospitals,"EMERGENCY SERVICES
24X7 OPEN 
MEDICAL COLLEGE
HOSPITAL AND COLLEGE","Singeshwar road MaDhEpuRa,bihar",919472389981,919472389981,24x7,,"MEDICAL COLLEGE and HOSPITAL MADHEPURA, BIHAR",,,,25.93311,86.795497,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/jktmch-madhepura.png,jannayak-karpoori-thakur-medical-college-and-hospital-madhepura-bihar,https://mymadhepura.com/listing/jannayak-karpoori-thakur-medical-college-and-hospital-madhepura-bihar/,2023-05-16,Published
ASHTHA MATERNITY,Doctors,"DR.LATA KUMARI 
DR.KUMAR KESHAV CHANDRA 

WOMEN'S AND INTERFERTILITY SPECIALIST",By pass road near petrol pump,919135576452,919135576452,9am opening time and closing time 9pm,,DR.LATA KUMARI (M.B.B.S PATNA) P.M.C.H women's doctor interfernity specialist,,,,25.933142,86.795488,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/Screenshot_2023-05-16-20-43-25-06_3d9111e2d3171bf4882369f490c087b4.jpg,ashtha-maternity,https://mymadhepura.com/listing/ashtha-maternity/,2023-05-16,Published
GANGOTRI MEMORIAL HOSPITAL,Doctors,"DR NEERAJ KUMAR (MBBS)

KIDNEY TRANSPLANT SURGEON
ENDOUROLOGIST
ADVANCE LAPROSCOPIC",By pass road near patraha,919341420655,919341420655,9am opening time and closing time 9pm,,"Kidney transplant surgeon, Endourologist, adavance laproscopic,Uro oncologist",,,,25.917414,86.791591,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/Screenshot_2023-05-16-20-50-54-68_3d9111e2d3171bf4882369f490c087b4.jpg,gangotri-memorial-hospital,https://mymadhepura.com/listing/gangotri-memorial-hospital/,2023-05-16,Published
THE ROOP TOP RESTAURANT,Restaurants,"BURGER , NOODLES, CHOWMEIN,PANNER PARATHA, COLD COFFEE , SAHI PANNER 
FAST FOOD ALL ITEMS BEST FOOD 😁

MUST VISIT ONCE 🙏",College chowk near gollambar,9100000,9100000,9am opening time and closing time 9pm,,"BURGER , CHOWMEIN,AALU PARATHA,COLD COFFEE, COLD DRINK,",,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/Screenshot_2023-05-16-23-19-27-67_3d9111e2d3171bf4882369f490c087b4.jpg,the-roop-top-restaurant,https://mymadhepura.com/listing/the-roop-top-restaurant/,2023-05-16,Published
CHAMPARAN MUTTON HOUSE,Restaurants,"MUTTON HANDI 
FULL- 1000💸
HALF- 500💸
TAWA ROTI- 5💸PIECE
STREAM RICE-40💸
JEERA RICE - 60💸",College chowk near gollambar,919110094153,919110094153,9am opening time and closing time 9pm,,MUTTON HANDI,,,,25.933157,86.795484,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/Screenshot_2023-05-16-23-36-02-28_3d9111e2d3171bf4882369f490c087b4.jpg,champaran-mutton-house,https://mymadhepura.com/listing/champaran-mutton-house/,2023-05-16,Published
ZAIKA FAMILY RESTAURANT,Restaurants,All types of food are available here must visit oncw,Main market V-MART,91000000,910000000,9am opening time and closing time 10pm,,"Veg Manchurian, paneer chili ,veg chili, veg chili, Chicken chilli, chicken lolipop,chicken biryani, chicken butter masala",,,,25.933142,86.795489,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/Screenshot_2023-05-16-23-45-04-97_3d9111e2d3171bf4882369f490c087b4.jpg,zaika-family-restaurant,https://mymadhepura.com/listing/zaika-family-restaurant/,2023-05-16,Published
MADHEPURA CANTEEN,Restaurants,All simple khana are available here,Near bus stand,917903358754,917903358754,9am opening time and closing time 9pm,,"Daal,chawal,sabji ,papar,",,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/Screenshot_2023-05-16-23-51-48-08_3d9111e2d3171bf4882369f490c087b4.jpg,madhepura-canteen,https://mymadhepura.com/listing/madhepura-canteen/,2023-05-16,Published
CHAI ADDA,Cafe,"CHAI AND COFFEE ARE THE BEST ❤️

MUST VISIT ONCE",College chowk near UB BIOLOGY CLASSES,918404903140,918404903140,9am opening time and closing time 9pm,,CHAI AND COFFEE,,,,25.932099,86.795598,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517115352-scaled.jpg,chai-adda,https://mymadhepura.com/listing/chai-adda/,2023-05-17,Published
Tommy's tail pet clinic,Doctors,Dog's clinic all types of dog's are treatment here,State Bank road near patanjali shop Madhepura 852113,917488006646,917488006646,9am opening time and closing time 9pm,,Dog's clinic,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514184951-scaled.jpg,tommys-tail-pet-clinic,https://mymadhepura.com/listing/tommys-tail-pet-clinic/,2023-05-17,Published
NEW FASHNEBUL TRAILORS,Tailors,TAILORS SHOP,College chowk near shiv mandir Madhepura,918306255448,918306255448,9am opening time and closing time 9pm,,"Tailor shop, peticot, wowen tailor, blouse",,,,25.932535,86.795561,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517130113-scaled.jpg,new-fashnebul-trailors,https://mymadhepura.com/listing/new-fashnebul-trailors/,2023-05-17,Published
Dr. Mukesh Kumar,Doctors,X-ray,College chowk near shiv mandir Madhepura,919304260161,919304260161,,Sunday,"(MBBS) (MGIMS) WARdha x-ray ,",,,,25.933146,86.795487,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517130612-scaled.jpg,dr-mukesh-kumar,https://mymadhepura.com/listing/dr-mukesh-kumar/,2023-05-17,Published
SANTOSH JEANS AND FASHION COLLECTION,Fashion,"All types of Jean's, shirts , loosers, hoodies are here must visit oNCe 🙏",College chowk near shiv mandir Madhepura,918936875537,918936845537,10am opening and closing time 9pm,,"Shirt, jeans, loosers,",,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517125925-scaled.jpg,santosh-jeans-and-fashion-collection,https://mymadhepura.com/listing/santosh-jeans-and-fashion-collection/,2023-05-17,Published
GAHNA JWELLERS,Others,"Gold , silver coins, gold chains , jwellery,mangalsutra ,",College chowk near shiv mandir Madhepura,919524658930,919524658930,10am opening and closing time 9pm,,"GOLD,SILVER,CHAINS ,ARE HERE",,,,25.933139,86.795489,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517125654-scaled.jpg,gahna-jwellers,https://mymadhepura.com/listing/gahna-jwellers/,2023-05-17,Published
Santosh men's parlour,Salons,"Men's saloon

All types of hair cutting ✂️ are here
Must visit once.... lowest price",College chowk near gahna jwellers,917282850035,917282850035,9am opening time and closing time 9pm,,Men's saloon,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517125809-scaled.jpg,santosh-mens-parlour,https://mymadhepura.com/listing/santosh-mens-parlour/,2023-05-17,Published
FIZA DRUG STORE,Doctors,All types of medicine are here must visit once,College chowk near shiv mandir Madhepura,918405870146,918405870146,9am opening time and closing time 9pm,,"Dolo,ac-lock,painkiller,vix, authentic cream for scars, Dettol, handiplast",,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG_20230517_215552.jpg,fiza-drug-store,https://mymadhepura.com/listing/fiza-drug-store/,2023-05-17,Published
ORAL DENTAL CLINIC,Dentists,DENTAL CLINIC,College chowk near vegetables shop,916476291029,916476291029,,Sunday close,Teeth clinic,,,,25.933896,86.795264,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517120459-scaled.jpg,oral-dental-clinic,https://mymadhepura.com/listing/oral-dental-clinic/,2023-05-17,Published
SBI BRANCH,Banquets,"Bank 
Sunday close",College chowk near champaran mutton house,9118001234,9118001234,,Sunday close,YONO BANK SBI,,,,25.933896,86.795264,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517123949-scaled.jpg,sbi-branch,https://mymadhepura.com/listing/sbi-branch/,2023-05-17,Published
SONY WATCH CENTRE AND GENERAL STORE,Wrist Watch Repair &amp,Watches and goggles,COLLEGE chowk near petrol pump,917004394720,917004394720,9am opening time and closing time 9pm,,"Watches, Goggles,",,,,25.933601,86.795364,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517122729-scaled.jpg,sony-watch-centre-and-general-store,https://mymadhepura.com/listing/sony-watch-centre-and-general-store/,2023-05-18,Published
SONY ELECTRONIC,Others,All types of electronic items are here,College chowk near shiv mandir Madhepura,919801638920,919801638920,10am opening and closing time 9pm,,"Fan,cooler,bulb,wires,led lights,",,,,25.932399,86.795573,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG_20230518_001654.jpg,sony-electronic,https://mymadhepura.com/listing/sony-electronic/,2023-05-18,Published
HOTEL ANNU PALACE,Hotels,Room's are available here must visit once,College chowk near shiv mandir Madhepura,918542034950,918542034950,,,All types of low budget and high budget rooms are available here AC/non AC,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517124227-scaled.jpg,hotel-annu-palace,https://mymadhepura.com/listing/hotel-annu-palace/,2023-05-18,Published
YADAV JEANS SHOP,Fashion,"Jean's, shirts,bleaser are here must visit once",Purani bazar MaDhEpuRa,917050559965,917050559965,9am opening time and closing time 9pm,,"Jeans, shirts,",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517125805-scaled.jpg,yadav-jeans-shop,https://mymadhepura.com/listing/yadav-jeans-shop/,2023-05-18,Published
JANTA MEDICAL HALL,Doctors,"English and ayurvedic medicine are here 
MUST visit once.",Purani bazar MaDhEpuRa,919534859620,919534859620,10am opening and closing time 9pm,Sunday close,English and ayurvedic medicine,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517125359-scaled.jpg,janta-medical-hall,https://mymadhepura.com/listing/janta-medical-hall/,2023-05-18,Published
ROSHNI GARMENTS,Fashion,"Boys'jeans, shirts, kids top ,girls jeans ,",Purani bazar MaDhEpuRa,918298427129,918298427129,,Sunday close,All types of cloths are here,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517125345-scaled.jpg,roshni-garments,https://mymadhepura.com/listing/roshni-garments/,2023-05-18,Published
RADHE RADHE,Fashion,"Lady's cloth , boys cloth , girls cloth, kids wears are here in lowest price...

Must visit once",College chowk near shiv mandir Madhepura,919524856980,919524856980,10am opening and closing time 9pm,,"Boys'jeans, shirts, kids wear ,girls wear",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517125021-scaled.jpg,radhe-radhe,https://mymadhepura.com/listing/radhe-radhe/,2023-05-18,Published
BANARASI BUJA AND SATTU DUKAN,Cafe,Buja and sattu shop,College chowk near shiv mandir Madhepura,919695176820,919695176820,10am opening and closing time 9pm,Saturday close,"BANARASI BUJA , SATTU DUKAN",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517123705-scaled.jpg,banarasi-buja-and-sattu-dukan,https://mymadhepura.com/listing/banarasi-buja-and-sattu-dukan/,2023-05-18,Published
MONA DRESSES,Fashion,Boys and girls wears are here,College chowk near shiv mandir Madhepura,917631712917,917631712917,10am opening and closing time 9pm,,"Boys , girls wears in low price",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517124129-scaled.jpg,mona-dresses,https://mymadhepura.com/listing/mona-dresses/,2023-05-18,Published
BIKANER SWEETS,Fashion,"Samosha, kachori, rasgulla, cold drink",College chowk near gollambar,919464212501,919464212501,10am opening and closing time 9pm,,"Samsosha, kachori, rasgulla ,",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517123834-scaled.jpg,bikaner-sweets,https://mymadhepura.com/listing/bikaner-sweets/,2023-05-18,Published
SONALI BEAUTY PARLOUR,Salons,"Hair cut , facial, beauty parlour",College chowk near shiv mandir Madhepura,918092055971,918092055971,10am opening and closing time 9pm,,"Hair cut, facial, beauty products",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517125058-scaled.jpg,sonali-beauty-parlour,https://mymadhepura.com/listing/sonali-beauty-parlour/,2023-05-18,Published
LASSI CORNER,Cafe,LASSI CORNER,College chowk near shiv mandir Madhepura,919973333075,919973333075,9am opening time and closing time 9pm,,Lassi corner,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517123856-scaled.jpg,lassi-corner,https://mymadhepura.com/listing/lassi-corner/,2023-05-18,Published
TRIDEV COMUNICATION,Opticians,"Charger, cables, mobiles , cover , USB , DATA CABLE",College chowk near shiv mandir Madhepura,919608569393,919608569393,9am opening time and closing time 9pm,,"Charger, mobiles cover, cable",,,,25.916561,86.789317,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517123636-scaled.jpg,tridev-comunication,https://mymadhepura.com/listing/tridev-comunication/,2023-05-18,Published
HOTEL KHUSHI,Hotels,"SAMSOSHA , KACHORI, COLD DRINKS",College chowk,919955373735,919955373735,,,"Samosha , kachori , Dahi , zalabii,",,,,25.934501,86.795301,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517123124-scaled.jpg,hotel-khushi,https://mymadhepura.com/listing/hotel-khushi/,2023-05-19,Published
MADHEPURA CAKE PALACE,Others,"CAKE  , COLDDRINK ,PASTIE , BURGER , COLD WATER",College chowk near TP COLLEGE,919155655135,919155655135,9am opening time and closing time 9pm,,"CAKE ,PASTIE ,BURGER, COLD DRINK",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517120545-scaled.jpg,madhepura-cake-palace,https://mymadhepura.com/listing/madhepura-cake-palace/,2023-05-19,Published
BABAJI WASHNAV HOTEL,Restaurants,SAMOSHA KACHORI COLD DRINKS,College chowk near gollambar,919934000653,919934000653,,,"SAMOSHA , KACHORI , COLD DRINKS",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517123257-scaled.jpg,babaji-washnav-hotel,https://mymadhepura.com/listing/babaji-washnav-hotel/,2023-05-19,Published
ARTI PRINTING PREAA,Grocery,"Online ticket, online forms, paper , online application, form fill up OnLiNe, net banking,",College chowk near shiv mandir Madhepura,918521199090,918521199090,9am opening time and closing time 9pm,,"Colour printing, paper , online application apply, form apply, online ticket , online payment",,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519155826-scaled.jpg,arti-printing-preaa,https://mymadhepura.com/listing/arti-printing-preaa/,2023-05-19,Published
WISDOM,Hostel,Coaching for boys and girls,College chowk near PhD road,917282893700,91728289700,9am opening time and closing time 7pm,Sunday close,Coaching for 9 to 12th batches,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519155819-scaled.jpg,wisdom,https://mymadhepura.com/listing/wisdom/,2023-05-19,Published
प्रखंड सह अंचल कार्याल,Colleges,"Government works , and election office",BOBBY NURSERY ROAD NEAR COLLEGE Chowk,9100000,9100000,10am opening and closing time 8pm,,GOVERNMENT WORKS,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519155726-scaled.jpg,%e0%a4%aa%e0%a5%8d%e0%a4%b0%e0%a4%96%e0%a4%82%e0%a4%a1-%e0%a4%b8%e0%a4%b9-%e0%a4%85%e0%a4%82%e0%a4%9a%e0%a4%b2-%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a5%8d%e0%a4%af%e0%a4%be%e0%a4%b2,https://mymadhepura.com/listing/%e0%a4%aa%e0%a5%8d%e0%a4%b0%e0%a4%96%e0%a4%82%e0%a4%a1-%e0%a4%b8%e0%a4%b9-%e0%a4%85%e0%a4%82%e0%a4%9a%e0%a4%b2-%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a5%8d%e0%a4%af%e0%a4%be%e0%a4%b2/,2023-05-19,Published
KISOR WASHNAV HOTEL (RESTURANT),Restaurants,WASHNAV all foods are available here ...must visit once,BOBBY NURSERY Road near BUPENDRA NARAYAN COLLAGE,916206653775,916206653775,10am opening and closing time 9pm,,"Samsosha ,kachori ,zalabii ,rasgulla",,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519155349-scaled.jpg,kisor-washnav-hotel-resturant,https://mymadhepura.com/listing/kisor-washnav-hotel-resturant/,2023-05-19,Published
